sensorId,createdAt,value,lat,lon
63f358354fbabe00074ecba4,2023-03-01T16:06:15.752Z,6.05,47.47018,19.078783
632accb7b6658f001be047ae,2023-03-01T16:06:13.134Z,2.28,47.47023,19.166389
63f358354fbabe00074ecba4,2023-03-01T16:06:00.561Z,6.10,47.47018,19.078783
6348fcc09b62e5001b25ac3d,2023-03-01T16:06:00.363Z,3.83,47.473804,19.013598
6373ce7d1de963001bf57c89,2023-03-01T16:05:58.156Z,3.97,47.602859,19.002431
5f2d23b010db48001b1e0498,2023-03-01T16:05:57.548Z,16.00,47.479936,19.216772
6217b0854f7ef7001bb35b34,2023-03-01T16:05:57.008Z,0.10,47.475369,19.015587
5f4a2ed8327264001be939e7,2023-03-01T16:05:54.620Z,3.37,47.418744,19.015003
615a29387ea3fe001c5c6731,2023-03-01T16:05:51.162Z,1.75,47.50262,18.94011
63f358354fbabe00074ecba4,2023-03-01T16:05:46.779Z,5.70,47.47018,19.078783
6346b8ea06f5f7001b77b65a,2023-03-01T16:05:45.798Z,4.43,47.565538,19.086423
60b641a6df2a7b001b5be9b6,2023-03-01T16:05:39.701Z,13.02,47.492259,19.071309
61c1093fe2a8da001b202855,2023-03-01T16:05:37.294Z,1.60,47.441326,19.16742
5e41889919585f001bae8019,2023-03-01T16:05:37.267Z,3.03,47.536316,19.06253
61b0ecbd4940cc001c8ddd9d,2023-03-01T16:05:37.264Z,8.73,47.513571,19.217218
615a2bcd7ea3fe001c5d77ac,2023-03-01T16:05:36.041Z,3.47,47.5026,18.9403
63f358354fbabe00074ecba4,2023-03-01T16:05:34.254Z,5.70,47.47018,19.078783
60d596f18855dd001cc63c65,2023-03-01T16:05:34.177Z,5.37,47.543574,19.074448
618ebe57e30ca5001b8f335e,2023-03-01T16:05:34.146Z,0.00,47.406479,19.187427
609bb97325b716001cbee2d4,2023-03-01T16:05:33.491Z,3.72,47.53168,19.084475
63e39c28880265000751e48f,2023-03-01T16:05:32.221Z,6.85,47.55391,18.960314
601ceca9e443a0001bcc937d,2023-03-01T16:05:31.660Z,16.10,47.361997,18.929267
63c8632ad37b36000733227c,2023-03-01T16:05:31.591Z,2.90,47.516104,19.056701
602e75504dd752001b6b7de6,2023-03-01T16:05:31.505Z,6.55,47.459289,19.03473
606d6cfc4393eb001c86ed58,2023-03-01T16:05:29.950Z,4.12,47.537799,19.06623
6391e43f698b50001ce301f3,2023-03-01T16:05:29.513Z,3.00,47.50145,19.148263
609b9ff825b716001cb24a77,2023-03-01T16:05:27.086Z,1.90,47.527134,19.0726
609ccb6225b716001c46f314,2023-03-01T16:05:26.800Z,4.85,47.474762,19.034527
6040f4368ad04a001bdbe3c9,2023-03-01T16:05:26.273Z,608.40,47.480862,19.023965
631afd6d46ccc3001c8ef336,2023-03-01T16:05:25.971Z,0.82,47.479801,19.237003
602e90a637bfd7001b9dd491,2023-03-01T16:05:25.100Z,1.17,47.461849,19.030208
6040ca7d8ad04a001bc6fd4a,2023-03-01T16:05:24.164Z,4.60,47.463627,19.014867
6230f21dbe6329001cfe8ac2,2023-03-01T16:05:23.114Z,6.82,47.489133,19.090875
63f358354fbabe00074ecba4,2023-03-01T16:05:19.687Z,5.85,47.47018,19.078783
61a12255d85cc7001bf7fdac,2023-03-01T16:05:18.412Z,8.98,47.530403,19.281569
6080401160979a001b0310ff,2023-03-01T16:05:06.027Z,4.00,47.456662,19.159684
63f358354fbabe00074ecba4,2023-03-01T16:04:59.143Z,5.60,47.47018,19.078783
5cbb4a4a815d52001ab980f9,2023-03-01T16:04:57.503Z,0.70,47.525798,19.116246
5e56763a37f639001bd14bb5,2023-03-01T16:04:51.637Z,11.77,47.45692,19.016782
621caa2245db71001b26beb0,2023-03-01T16:04:49.779Z,5.40,47.504823,19.024884
615a29387ea3fe001c5c6731,2023-03-01T16:04:46.112Z,1.65,47.50262,18.94011
6391c79670c7ae001b0e1989,2023-03-01T16:04:45.651Z,3.80,47.479865,19.078794
63f358354fbabe00074ecba4,2023-03-01T16:04:43.748Z,5.68,47.47018,19.078783
61a47f514a7833001b5191c7,2023-03-01T16:04:35.672Z,3.80,47.505968,19.158086
63f358354fbabe00074ecba4,2023-03-01T16:04:27.620Z,5.82,47.47018,19.078783
615a2bcd7ea3fe001c5d77ac,2023-03-01T16:04:25.875Z,4.15,47.5026,18.9403
623894cdbe6329001cb4bfe6,2023-03-01T16:04:22.445Z,0.77,47.465842,19.117917
63f358354fbabe00074ecba4,2023-03-01T16:04:11.455Z,5.35,47.47018,19.078783
61a12255d85cc7001bf7fdac,2023-03-01T16:04:05.440Z,10.32,47.530403,19.281569
633c4150ca8ac8001b7abbfd,2023-03-01T16:04:05.181Z,10.95,47.540238,19.072244
609ee46125b716001c53b1fd,2023-03-01T16:04:04.763Z,2.90,47.506199,19.133976
6040c7618ad04a001bc570aa,2023-03-01T16:04:04.408Z,4.28,47.4584,19.017398
611f76f5b09114001b548f8e,2023-03-01T16:04:04.285Z,5.57,47.504324,19.074182
61fba00568c6fb001b8c532a,2023-03-01T16:04:04.256Z,4.15,47.504416,19.074067
6353be94139d1f001b1b21fc,2023-03-01T16:04:04.227Z,4.18,47.513008,19.054063
6040d2f38ad04a001bcb3570,2023-03-01T16:04:04.116Z,4.25,47.473679,19.056018
5fee0624576ab7001ccf57c6,2023-03-01T16:04:00.816Z,2.88,47.522679,19.106484
60d71dd18855dd001c7c5352,2023-03-01T16:03:59.674Z,1.67,47.417303,19.080649
63f358354fbabe00074ecba4,2023-03-01T16:03:55.759Z,5.43,47.47018,19.078783
63f358354fbabe00074ecba4,2023-03-01T16:03:43.188Z,5.20,47.47018,19.078783
615a29387ea3fe001c5c6731,2023-03-01T16:03:43.125Z,1.50,47.50262,18.94011
60c4dad1e650df001cc4978d,2023-03-01T16:03:38.912Z,7.20,47.599754,19.241991
60b641a6df2a7b001b5be9b6,2023-03-01T16:03:36.532Z,5.05,47.492259,19.071309
6348fcc09b62e5001b25ac3d,2023-03-01T16:03:30.904Z,4.75,47.473804,19.013598
6373ce7d1de963001bf57c89,2023-03-01T16:03:30.310Z,3.83,47.602859,19.002431
