sensorId,createdAt,value,lat,lon
621caa2245db71001b26beb0,2023-03-03T10:37:15.952Z,8.95,47.504823,19.024884
6355a4eddb73ef001b7c4218,2023-03-03T10:37:12.291Z,11.37,47.538966,19.087112
6230f21dbe6329001cfe8ac2,2023-03-03T10:37:10.448Z,18.25,47.489133,19.090875
6346b8ea06f5f7001b77b65a,2023-03-03T10:37:09.239Z,9.88,47.565538,19.086423
6377557a9b1ef5001b1e6afb,2023-03-03T10:37:06.959Z,10.77,47.494357,19.274236
60c4dad1e650df001cc4978d,2023-03-03T10:37:05.557Z,6.40,47.599754,19.241991
61a47f514a7833001b5191c7,2023-03-03T10:37:02.654Z,9.35,47.505968,19.158086
60b641a6df2a7b001b5be9b6,2023-03-03T10:36:58.059Z,9.50,47.492259,19.071309
6373ce7d1de963001bf57c89,2023-03-03T10:36:56.557Z,4.57,47.602859,19.002431
61a12255d85cc7001bf7fdac,2023-03-03T10:36:45.983Z,11.43,47.530403,19.281569
60d596f18855dd001cc63c65,2023-03-03T10:36:44.850Z,12.15,47.543574,19.074448
615a2bcd7ea3fe001c5d77ac,2023-03-03T10:36:38.630Z,8.23,47.5026,18.9403
63f358354fbabe00074ecba4,2023-03-03T10:36:36.091Z,18.63,47.47018,19.078783
609ee46125b716001c53b1fd,2023-03-03T10:36:32.279Z,8.32,47.506199,19.133976
60d71dd18855dd001c7c5352,2023-03-03T10:36:22.249Z,8.80,47.417303,19.080649
618ebe57e30ca5001b8f335e,2023-03-03T10:36:18.456Z,0.62,47.406479,19.187427
61fba00568c6fb001b8c532a,2023-03-03T10:36:14.205Z,10.30,47.504416,19.074067
602e75504dd752001b6b7de6,2023-03-03T10:36:12.326Z,11.20,47.459289,19.03473
5fee0624576ab7001ccf57c6,2023-03-03T10:36:07.038Z,9.82,47.522679,19.106484
5f4a2ed8327264001be939e7,2023-03-03T10:36:06.986Z,10.68,47.418744,19.015003
6040ca7d8ad04a001bc6fd4a,2023-03-03T10:36:06.684Z,12.45,47.463627,19.014867
6080401160979a001b0310ff,2023-03-03T10:36:06.606Z,11.90,47.456662,19.159684
5cbb4a4a815d52001ab980f9,2023-03-03T10:35:56.907Z,2.10,47.525798,19.116246
63f358354fbabe00074ecba4,2023-03-03T10:35:39.429Z,18.38,47.47018,19.078783
601ceca9e443a0001bcc937d,2023-03-03T10:35:38.414Z,13.02,47.361997,18.929267
5f2d23b010db48001b1e0498,2023-03-03T10:35:32.908Z,1.60,47.479936,19.216772
611f76f5b09114001b548f8e,2023-03-03T10:35:29.039Z,14.07,47.504324,19.074182
631afd6d46ccc3001c8ef336,2023-03-03T10:35:28.500Z,3.53,47.479801,19.237003
615a2bcd7ea3fe001c5d77ac,2023-03-03T10:35:23.626Z,8.60,47.5026,18.9403
602e90a637bfd7001b9dd491,2023-03-03T10:35:21.351Z,2.53,47.461849,19.030208
61c1093fe2a8da001b202855,2023-03-03T10:35:18.563Z,1.85,47.441326,19.16742
6348fcc09b62e5001b25ac3d,2023-03-03T10:35:12.887Z,6.63,47.473804,19.013598
6353be94139d1f001b1b21fc,2023-03-03T10:35:12.783Z,8.80,47.513008,19.054063
5e41889919585f001bae8019,2023-03-03T10:35:12.029Z,10.60,47.536316,19.06253
6238444bbe6329001c8e4f59,2023-03-03T10:35:07.356Z,12.00,47.486088,19.064243
61a12255d85cc7001bf7fdac,2023-03-03T10:35:05.643Z,12.07,47.530403,19.281569
6040d2f38ad04a001bcb3570,2023-03-03T10:35:03.755Z,8.38,47.473679,19.056018
